Municipios;Sexo;Periodo;Total
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2024;397
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2023;388
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2022;361
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2021;344
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2020;309
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2019;316
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2018;318
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2017;315
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2016;325
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2015;351
28064 Gascones;Total;2024;239
28064 Gascones;Total;2023;229
28064 Gascones;Total;2022;212
28064 Gascones;Total;2021;191
28064 Gascones;Total;2020;176
28064 Gascones;Total;2019;193
28064 Gascones;Total;2018;188
28064 Gascones;Total;2017;176
28064 Gascones;Total;2016;171
28064 Gascones;Total;2015;176
28065 Getafe;Total;2024;189.906
28065 Getafe;Total;2023;185.899
28065 Getafe;Total;2022;183.219
28065 Getafe;Total;2021;183.095
28065 Getafe;Total;2020;185.180
28065 Getafe;Total;2019;183.374
28065 Getafe;Total;2018;180.747
28065 Getafe;Total;2017;178.288
28065 Getafe;Total;2016;176.659
28065 Getafe;Total;2015;174.921
28066 Griþµn;Total;2024;10.718
28066 Griþµn;Total;2023;10.087
28066 Griþµn;Total;2022;10.491
28066 Griþµn;Total;2021;10.467
28066 Griþµn;Total;2020;10.435
28066 Griþµn;Total;2019;10.319
28066 Griþµn;Total;2018;10.178
28066 Griþµn;Total;2017;10.060
28066 Griþµn;Total;2016;9.938
28066 Griþµn;Total;2015;9.918
28067 Guadalix de la Sierra;Total;2024;6.904
28067 Guadalix de la Sierra;Total;2023;6.814
28067 Guadalix de la Sierra;Total;2022;6.672
28067 Guadalix de la Sierra;Total;2021;6.594
28067 Guadalix de la Sierra;Total;2020;6.440
28067 Guadalix de la Sierra;Total;2019;6.214
28067 Guadalix de la Sierra;Total;2018;6.119
28067 Guadalix de la Sierra;Total;2017;6.049
28067 Guadalix de la Sierra;Total;2016;5.982
28067 Guadalix de la Sierra;Total;2015;6.039
28068 Guadarrama;Total;2024;17.062
28068 Guadarrama;Total;2023;17.063
28068 Guadarrama;Total;2022;16.921
28068 Guadarrama;Total;2021;16.747
28068 Guadarrama;Total;2020;16.560
28068 Guadarrama;Total;2019;16.032
28068 Guadarrama;Total;2018;15.785
28068 Guadarrama;Total;2017;15.620
28068 Guadarrama;Total;2016;15.488
28068 Guadarrama;Total;2015;15.538
28069 Hiruela, La;Total;2024;83
28069 Hiruela, La;Total;2023;74
28069 Hiruela, La;Total;2022;75
28069 Hiruela, La;Total;2021;72
28069 Hiruela, La;Total;2020;65
28069 Hiruela, La;Total;2019;57
28069 Hiruela, La;Total;2018;48
28069 Hiruela, La;Total;2017;52
28069 Hiruela, La;Total;2016;54
28069 Hiruela, La;Total;2015;54
28070 Horcajo de la Sierra-Aoslos;Total;2024;233
28070 Horcajo de la Sierra-Aoslos;Total;2023;234
28070 Horcajo de la Sierra-Aoslos;Total;2022;201
28070 Horcajo de la Sierra-Aoslos;Total;2021;170
28070 Horcajo de la Sierra-Aoslos;Total;2020;152
28070 Horcajo de la Sierra-Aoslos;Total;2019;145
28070 Horcajo de la Sierra-Aoslos;Total;2018;148
28070 Horcajo de la Sierra-Aoslos;Total;2017;142
28070 Horcajo de la Sierra-Aoslos;Total;2016;143
28070 Horcajo de la Sierra-Aoslos;Total;2015;159
28071 Horcajuelo de la Sierra;Total;2024;111
28071 Horcajuelo de la Sierra;Total;2023;108
28071 Horcajuelo de la Sierra;Total;2022;110
28071 Horcajuelo de la Sierra;Total;2021;106
28071 Horcajuelo de la Sierra;Total;2020;89
28071 Horcajuelo de la Sierra;Total;2019;86
28071 Horcajuelo de la Sierra;Total;2018;89
28071 Horcajuelo de la Sierra;Total;2017;88
28071 Horcajuelo de la Sierra;Total;2016;86
28071 Horcajuelo de la Sierra;Total;2015;88
28072 Hoyo de Manzanares;Total;2024;9.178
28072 Hoyo de Manzanares;Total;2023;8.973
28072 Hoyo de Manzanares;Total;2022;8.811
28072 Hoyo de Manzanares;Total;2021;8.680
28072 Hoyo de Manzanares;Total;2020;8.529
28072 Hoyo de Manzanares;Total;2019;8.434
28072 Hoyo de Manzanares;Total;2018;8.222
28072 Hoyo de Manzanares;Total;2017;8.032
28072 Hoyo de Manzanares;Total;2016;7.965
28072 Hoyo de Manzanares;Total;2015;7.880
28073 Humanes de Madrid;Total;2024;20.074
28073 Humanes de Madrid;Total;2023;19.902
28073 Humanes de Madrid;Total;2022;19.838
28073 Humanes de Madrid;Total;2021;19.736
28073 Humanes de Madrid;Total;2020;19.701
28073 Humanes de Madrid;Total;2019;19.743
28073 Humanes de Madrid;Total;2018;19.587
28073 Humanes de Madrid;Total;2017;19.607
28073 Humanes de Madrid;Total;2016;19.563
28073 Humanes de Madrid;Total;2015;19.413
28074 LeganÕs;Total;2024;194.084
28074 LeganÕs;Total;2023;190.665
28074 LeganÕs;Total;2022;186.660
28074 LeganÕs;Total;2021;187.762
28074 LeganÕs;Total;2020;191.114
28074 LeganÕs;Total;2019;189.861
28074 LeganÕs;Total;2018;188.425
28074 LeganÕs;Total;2017;187.720
28074 LeganÕs;Total;2016;187.173
28074 LeganÕs;Total;2015;186.907
28075 Loeches;Total;2024;9.200
28075 Loeches;Total;2023;9.108
28075 Loeches;Total;2022;8.944
28075 Loeches;Total;2021;8.860
28075 Loeches;Total;2020;8.897
28075 Loeches;Total;2019;8.791
28075 Loeches;Total;2018;8.673
28075 Loeches;Total;2017;8.525
28075 Loeches;Total;2016;8.388
28075 Loeches;Total;2015;8.212
28076 Lozoya;Total;2024;617
28076 Lozoya;Total;2023;621
28076 Lozoya;Total;2022;602
28076 Lozoya;Total;2021;593
28076 Lozoya;Total;2020;580
28076 Lozoya;Total;2019;581
28076 Lozoya;Total;2018;559
28076 Lozoya;Total;2017;559
28076 Lozoya;Total;2016;576
28076 Lozoya;Total;2015;594
28901 Lozoyuela-Navas-Sieteiglesias;Total;2024;1.483
28901 Lozoyuela-Navas-Sieteiglesias;Total;2023;1.483
28901 Lozoyuela-Navas-Sieteiglesias;Total;2022;1.461
28901 Lozoyuela-Navas-Sieteiglesias;Total;2021;1.407
28901 Lozoyuela-Navas-Sieteiglesias;Total;2020;1.340
28901 Lozoyuela-Navas-Sieteiglesias;Total;2019;1.299
28901 Lozoyuela-Navas-Sieteiglesias;Total;2018;1.266
28901 Lozoyuela-Navas-Sieteiglesias;Total;2017;1.237
28901 Lozoyuela-Navas-Sieteiglesias;Total;2016;1.210
28901 Lozoyuela-Navas-Sieteiglesias;Total;2015;1.203
28078 Madarcos;Total;2024;70
28078 Madarcos;Total;2023;72
28078 Madarcos;Total;2022;63
28078 Madarcos;Total;2021;57
28078 Madarcos;Total;2020;49
28078 Madarcos;Total;2019;48
28078 Madarcos;Total;2018;47
28078 Madarcos;Total;2017;46
28078 Madarcos;Total;2016;47
28078 Madarcos;Total;2015;45
28079 Madrid;Total;2024;3.416.771
28079 Madrid;Total;2023;3.332.035
28079 Madrid;Total;2022;3.280.782
28079 Madrid;Total;2021;3.305.408
28079 Madrid;Total;2020;3.334.730
28079 Madrid;Total;2019;3.266.126
28079 Madrid;Total;2018;3.223.334
28079 Madrid;Total;2017;3.182.981
28079 Madrid;Total;2016;3.165.541
28079 Madrid;Total;2015;3.141.991
28080 Majadahonda;Total;2024;73.355
28080 Majadahonda;Total;2023;72.548
28080 Majadahonda;Total;2022;72.179
28080 Majadahonda;Total;2021;72.034
28080 Majadahonda;Total;2020;72.155
28080 Majadahonda;Total;2019;71.826
28080 Majadahonda;Total;2018;71.785
28080 Majadahonda;Total;2017;71.299
28080 Majadahonda;Total;2016;70.755
28080 Majadahonda;Total;2015;70.800
28082 Manzanares el Real;Total;2024;9.550
28082 Manzanares el Real;Total;2023;9.386
28082 Manzanares el Real;Total;2022;9.247
28082 Manzanares el Real;Total;2021;9.202
28082 Manzanares el Real;Total;2020;8.936
28082 Manzanares el Real;Total;2019;8.840
28082 Manzanares el Real;Total;2018;8.597
28082 Manzanares el Real;Total;2017;8.500
28082 Manzanares el Real;Total;2016;8.387
28082 Manzanares el Real;Total;2015;8.309
28083 Meco;Total;2024;15.732
28083 Meco;Total;2023;15.404
28083 Meco;Total;2022;15.143
28083 Meco;Total;2021;14.903
28083 Meco;Total;2020;14.670
28083 Meco;Total;2019;14.305
28083 Meco;Total;2018;13.959
28083 Meco;Total;2017;13.570
28083 Meco;Total;2016;13.426
28083 Meco;Total;2015;13.269
28084 Mejorada del Campo;Total;2024;24.659
28084 Mejorada del Campo;Total;2023;24.274
28084 Mejorada del Campo;Total;2022;23.897
28084 Mejorada del Campo;Total;2021;23.737
28084 Mejorada del Campo;Total;2020;23.639
28084 Mejorada del Campo;Total;2019;23.274
28084 Mejorada del Campo;Total;2018;23.241
28084 Mejorada del Campo;Total;2017;22.948
28084 Mejorada del Campo;Total;2016;22.900
28084 Mejorada del Campo;Total;2015;22.902
28085 Miraflores de la Sierra;Total;2024;7.139
28085 Miraflores de la Sierra;Total;2023;6.945
28085 Miraflores de la Sierra;Total;2022;6.711
28085 Miraflores de la Sierra;Total;2021;6.585
28085 Miraflores de la Sierra;Total;2020;6.362
28085 Miraflores de la Sierra;Total;2019;6.108
28085 Miraflores de la Sierra;Total;2018;5.897
28085 Miraflores de la Sierra;Total;2017;5.817
28085 Miraflores de la Sierra;Total;2016;5.754
28085 Miraflores de la Sierra;Total;2015;5.807
28086 Molar, El;Total;2024;10.052
28086 Molar, El;Total;2023;9.759
28086 Molar, El;Total;2022;9.437
28086 Molar, El;Total;2021;9.291
28086 Molar, El;Total;2020;9.287
28086 Molar, El;Total;2019;8.938
28086 Molar, El;Total;2018;8.666
28086 Molar, El;Total;2017;8.491
28086 Molar, El;Total;2016;8.263
28086 Molar, El;Total;2015;8.036
28087 Molinos, Los;Total;2024;4.731
28087 Molinos, Los;Total;2023;4.786
28087 Molinos, Los;Total;2022;4.699
28087 Molinos, Los;Total;2021;4.563
28087 Molinos, Los;Total;2020;4.433
28087 Molinos, Los;Total;2019;4.389
28087 Molinos, Los;Total;2018;4.328
28087 Molinos, Los;Total;2017;4.345
28087 Molinos, Los;Total;2016;4.373
28087 Molinos, Los;Total;2015;4.349
28088 Montejo de la Sierra;Total;2024;374
28088 Montejo de la Sierra;Total;2023;381
28088 Montejo de la Sierra;Total;2022;372
28088 Montejo de la Sierra;Total;2021;365
28088 Montejo de la Sierra;Total;2020;364
28088 Montejo de la Sierra;Total;2019;353
28088 Montejo de la Sierra;Total;2018;363
28088 Montejo de la Sierra;Total;2017;356
28088 Montejo de la Sierra;Total;2016;359
28088 Montejo de la Sierra;Total;2015;374
28089 Moraleja de Enmedio;Total;2024;5.576
28089 Moraleja de Enmedio;Total;2023;5.453
28089 Moraleja de Enmedio;Total;2022;5.368
28089 Moraleja de Enmedio;Total;2021;5.294
28089 Moraleja de Enmedio;Total;2020;5.200
28089 Moraleja de Enmedio;Total;2019;5.136
28089 Moraleja de Enmedio;Total;2018;5.021
28089 Moraleja de Enmedio;Total;2017;4.870
28089 Moraleja de Enmedio;Total;2016;4.984
28089 Moraleja de Enmedio;Total;2015;5.046
28090 Moralzarzal;Total;2024;14.586
28090 Moralzarzal;Total;2023;14.124
28090 Moralzarzal;Total;2022;13.905
28090 Moralzarzal;Total;2021;13.573
28090 Moralzarzal;Total;2020;13.334
28090 Moralzarzal;Total;2019;13.026
28090 Moralzarzal;Total;2018;12.697
28090 Moralzarzal;Total;2017;12.496
28090 Moralzarzal;Total;2016;12.372
28090 Moralzarzal;Total;2015;12.213
28091 Morata de Tajuþa;Total;2024;8.319
28091 Morata de Tajuþa;Total;2023;8.115
28091 Morata de Tajuþa;Total;2022;7.960
28091 Morata de Tajuþa;Total;2021;7.924
28091 Morata de Tajuþa;Total;2020;7.847
28091 Morata de Tajuþa;Total;2019;7.683
28091 Morata de Tajuþa;Total;2018;7.553
28091 Morata de Tajuþa;Total;2017;7.482
28091 Morata de Tajuþa;Total;2016;7.548
28091 Morata de Tajuþa;Total;2015;7.453
28092 Mµstoles;Total;2024;214.006
28092 Mµstoles;Total;2023;211.265
28092 Mµstoles;Total;2022;208.761
28092 Mµstoles;Total;2021;209.639
28092 Mµstoles;Total;2020;210.309
28092 Mµstoles;Total;2019;209.184
28092 Mµstoles;Total;2018;207.095
28092 Mµstoles;Total;2017;206.589
28092 Mµstoles;Total;2016;205.614
28092 Mµstoles;Total;2015;206.263
28093 Navacerrada;Total;2024;3.290
28093 Navacerrada;Total;2023;3.282
28093 Navacerrada;Total;2022;3.218
28093 Navacerrada;Total;2021;3.220
28093 Navacerrada;Total;2020;3.091
28093 Navacerrada;Total;2019;2.972
28093 Navacerrada;Total;2018;2.911
28093 Navacerrada;Total;2017;2.894
28093 Navacerrada;Total;2016;2.885
28093 Navacerrada;Total;2015;2.855
28094 Navalafuente;Total;2024;1.672
28094 Navalafuente;Total;2023;1.637
28094 Navalafuente;Total;2022;1.574
28094 Navalafuente;Total;2021;1.573
28094 Navalafuente;Total;2020;1.511
28094 Navalafuente;Total;2019;1.449
28094 Navalafuente;Total;2018;1.397
28094 Navalafuente;Total;2017;1.340
28094 Navalafuente;Total;2016;1.266
28094 Navalafuente;Total;2015;1.201
28095 Navalagamella;Total;2024;3.111
28095 Navalagamella;Total;2023;2.982
28095 Navalagamella;Total;2022;2.809
28095 Navalagamella;Total;2021;2.720
28095 Navalagamella;Total;2020;2.637
28095 Navalagamella;Total;2019;2.610
28095 Navalagamella;Total;2018;2.601
28095 Navalagamella;Total;2017;2.443
28095 Navalagamella;Total;2016;2.423
28095 Navalagamella;Total;2015;2.462
28096 Navalcarnero;Total;2024;32.683
28096 Navalcarnero;Total;2023;31.974
28096 Navalcarnero;Total;2022;31.379
28096 Navalcarnero;Total;2021;30.695
28096 Navalcarnero;Total;2020;29.985
28096 Navalcarnero;Total;2019;29.298
28096 Navalcarnero;Total;2018;28.305
28096 Navalcarnero;Total;2017;27.570
28096 Navalcarnero;Total;2016;26.954
28096 Navalcarnero;Total;2015;26.672
28097 Navarredonda y San MamÕs;Total;2024;151
28097 Navarredonda y San MamÕs;Total;2023;150
28097 Navarredonda y San MamÕs;Total;2022;138
28097 Navarredonda y San MamÕs;Total;2021;141
28097 Navarredonda y San MamÕs;Total;2020;129
28097 Navarredonda y San MamÕs;Total;2019;129
28097 Navarredonda y San MamÕs;Total;2018;122
28097 Navarredonda y San MamÕs;Total;2017;131
28097 Navarredonda y San MamÕs;Total;2016;132
28097 Navarredonda y San MamÕs;Total;2015;136
28099 Navas del Rey;Total;2024;3.347
28099 Navas del Rey;Total;2023;3.244
28099 Navas del Rey;Total;2022;3.134
28099 Navas del Rey;Total;2021;3.062
28099 Navas del Rey;Total;2020;2.966
28099 Navas del Rey;Total;2019;2.918
28099 Navas del Rey;Total;2018;2.819
28099 Navas del Rey;Total;2017;2.751
28099 Navas del Rey;Total;2016;2.659
28099 Navas del Rey;Total;2015;2.628
28100 Nuevo BaztÃn;Total;2024;7.339
28100 Nuevo BaztÃn;Total;2023;7.050
28100 Nuevo BaztÃn;Total;2022;6.760
28100 Nuevo BaztÃn;Total;2021;6.630
28100 Nuevo BaztÃn;Total;2020;6.454
28100 Nuevo BaztÃn;Total;2019;6.276
28100 Nuevo BaztÃn;Total;2018;6.154
28100 Nuevo BaztÃn;Total;2017;6.091
28100 Nuevo BaztÃn;Total;2016;6.018
28100 Nuevo BaztÃn;Total;2015;6.098
28101 Olmeda de las Fuentes;Total;2024;408
28101 Olmeda de las Fuentes;Total;2023;402
28101 Olmeda de las Fuentes;Total;2022;376
28101 Olmeda de las Fuentes;Total;2021;357
28101 Olmeda de las Fuentes;Total;2020;346
28101 Olmeda de las Fuentes;Total;2019;348
28101 Olmeda de las Fuentes;Total;2018;346
28101 Olmeda de las Fuentes;Total;2017;332
28101 Olmeda de las Fuentes;Total;2016;326
28101 Olmeda de las Fuentes;Total;2015;338
28102 Orusco de Tajuþa;Total;2024;1.511
28102 Orusco de Tajuþa;Total;2023;1.415
28102 Orusco de Tajuþa;Total;2022;1.326
28102 Orusco de Tajuþa;Total;2021;1.291
28102 Orusco de Tajuþa;Total;2020;1.295
28102 Orusco de Tajuþa;Total;2019;1.244
28102 Orusco de Tajuþa;Total;2018;1.202
28102 Orusco de Tajuþa;Total;2017;1.218
28102 Orusco de Tajuþa;Total;2016;1.225
28102 Orusco de Tajuþa;Total;2015;1.260
28104 Paracuellos de Jarama;Total;2024;27.238
28104 Paracuellos de Jarama;Total;2023;27.000
28104 Paracuellos de Jarama;Total;2022;26.450
28104 Paracuellos de Jarama;Total;2021;26.235
28104 Paracuellos de Jarama;Total;2020;25.917
28104 Paracuellos de Jarama;Total;2019;25.269
28104 Paracuellos de Jarama;Total;2018;24.521
28104 Paracuellos de Jarama;Total;2017;23.905
28104 Paracuellos de Jarama;Total;2016;23.104
28104 Paracuellos de Jarama;Total;2015;22.293
28106 Parla;Total;2024;134.833
28106 Parla;Total;2023;133.004
28106 Parla;Total;2022;130.577
28106 Parla;Total;2021;131.689
28106 Parla;Total;2020;133.482
28106 Parla;Total;2019;130.124
28106 Parla;Total;2018;128.256
28106 Parla;Total;2017;125.898
28106 Parla;Total;2016;124.661
28106 Parla;Total;2015;125.056
28107 Patones;Total;2024;602
28107 Patones;Total;2023;566
28107 Patones;Total;2022;536
28107 Patones;Total;2021;524
28107 Patones;Total;2020;539
28107 Patones;Total;2019;541
28107 Patones;Total;2018;523
28107 Patones;Total;2017;553
28107 Patones;Total;2016;537
28107 Patones;Total;2015;524
28108 Pedrezuela;Total;2024;6.467
28108 Pedrezuela;Total;2023;6.400
28108 Pedrezuela;Total;2022;6.307
28108 Pedrezuela;Total;2021;6.226
28108 Pedrezuela;Total;2020;6.150
28108 Pedrezuela;Total;2019;5.892
28108 Pedrezuela;Total;2018;5.746
28108 Pedrezuela;Total;2017;5.613
28108 Pedrezuela;Total;2016;5.456
28108 Pedrezuela;Total;2015;5.271
28109 Pelayos de la Presa;Total;2024;3.136
28109 Pelayos de la Presa;Total;2023;2.982
28109 Pelayos de la Presa;Total;2022;2.867
28109 Pelayos de la Presa;Total;2021;2.827
28109 Pelayos de la Presa;Total;2020;2.676
28109 Pelayos de la Presa;Total;2019;2.596
28109 Pelayos de la Presa;Total;2018;2.475
28109 Pelayos de la Presa;Total;2017;2.468
28109 Pelayos de la Presa;Total;2016;2.471
28109 Pelayos de la Presa;Total;2015;2.455
28110 Perales de Tajuþa;Total;2024;3.207
28110 Perales de Tajuþa;Total;2023;3.176
28110 Perales de Tajuþa;Total;2022;3.117
28110 Perales de Tajuþa;Total;2021;3.059
28110 Perales de Tajuþa;Total;2020;2.990
28110 Perales de Tajuþa;Total;2019;2.935
28110 Perales de Tajuþa;Total;2018;2.831
28110 Perales de Tajuþa;Total;2017;2.817
28110 Perales de Tajuþa;Total;2016;2.799
28110 Perales de Tajuþa;Total;2015;2.871
28111 Pezuela de las Torres;Total;2024;989
28111 Pezuela de las Torres;Total;2023;977
28111 Pezuela de las Torres;Total;2022;931
28111 Pezuela de las Torres;Total;2021;927
28111 Pezuela de las Torres;Total;2020;867
28111 Pezuela de las Torres;Total;2019;842
28111 Pezuela de las Torres;Total;2018;821
28111 Pezuela de las Torres;Total;2017;816
28111 Pezuela de las Torres;Total;2016;793
28111 Pezuela de las Torres;Total;2015;783
28112 Pinilla del Valle;Total;2024;200
28112 Pinilla del Valle;Total;2023;204
28112 Pinilla del Valle;Total;2022;198
28112 Pinilla del Valle;Total;2021;196
28112 Pinilla del Valle;Total;2020;190
28112 Pinilla del Valle;Total;2019;191
28112 Pinilla del Valle;Total;2018;187
28112 Pinilla del Valle;Total;2017;185
28112 Pinilla del Valle;Total;2016;192
28112 Pinilla del Valle;Total;2015;200
28113 Pinto;Total;2024;56.003
28113 Pinto;Total;2023;55.208
28113 Pinto;Total;2022;54.088
28113 Pinto;Total;2021;53.537
28113 Pinto;Total;2020;53.325
28113 Pinto;Total;2019;52.526
28113 Pinto;Total;2018;51.541
28113 Pinto;Total;2017;50.442
28113 Pinto;Total;2016;49.522
28113 Pinto;Total;2015;48.660
28114 PiþuÕcar-Gandullas;Total;2024;185
28114 PiþuÕcar-Gandullas;Total;2023;178
28114 PiþuÕcar-Gandullas;Total;2022;184
28114 PiþuÕcar-Gandullas;Total;2021;185
28114 PiþuÕcar-Gandullas;Total;2020;179
28114 PiþuÕcar-Gandullas;Total;2019;185
28114 PiþuÕcar-Gandullas;Total;2018;171
28114 PiþuÕcar-Gandullas;Total;2017;183
28114 PiþuÕcar-Gandullas;Total;2016;185
28114 PiþuÕcar-Gandullas;Total;2015;175
28115 Pozuelo de Alarcµn;Total;2024;89.378
28115 Pozuelo de Alarcµn;Total;2023;88.784
28115 Pozuelo de Alarcµn;Total;2022;87.728
28115 Pozuelo de Alarcµn;Total;2021;87.134
28115 Pozuelo de Alarcµn;Total;2020;87.165
28115 Pozuelo de Alarcµn;Total;2019;86.422
28115 Pozuelo de Alarcµn;Total;2018;86.172
28115 Pozuelo de Alarcµn;Total;2017;85.605
28115 Pozuelo de Alarcµn;Total;2016;84.989
28115 Pozuelo de Alarcµn;Total;2015;84.558
28116 Pozuelo del Rey;Total;2024;1.292
28116 Pozuelo del Rey;Total;2023;1.254
28116 Pozuelo del Rey;Total;2022;1.178
28116 Pozuelo del Rey;Total;2021;1.190
28116 Pozuelo del Rey;Total;2020;1.172
28116 Pozuelo del Rey;Total;2019;1.147
28116 Pozuelo del Rey;Total;2018;1.120
28116 Pozuelo del Rey;Total;2017;1.099
28116 Pozuelo del Rey;Total;2016;1.073
28116 Pozuelo del Rey;Total;2015;1.071
28117 PrÃdena del Rincµn;Total;2024;139
28117 PrÃdena del Rincµn;Total;2023;150
28117 PrÃdena del Rincµn;Total;2022;147
28117 PrÃdena del Rincµn;Total;2021;149
28117 PrÃdena del Rincµn;Total;2020;125
28117 PrÃdena del Rincµn;Total;2019;117
28117 PrÃdena del Rincµn;Total;2018;117
28117 PrÃdena del Rincµn;Total;2017;132
28117 PrÃdena del Rincµn;Total;2016;134
28117 PrÃdena del Rincµn;Total;2015;122
28118 Puebla de la Sierra;Total;2024;93
28118 Puebla de la Sierra;Total;2023;99
28118 Puebla de la Sierra;Total;2022;84
28118 Puebla de la Sierra;Total;2021;75
28118 Puebla de la Sierra;Total;2020;73
28118 Puebla de la Sierra;Total;2019;65
28118 Puebla de la Sierra;Total;2018;60
28118 Puebla de la Sierra;Total;2017;61
28118 Puebla de la Sierra;Total;2016;66
28118 Puebla de la Sierra;Total;2015;73
28902 Puentes Viejas;Total;2024;775
28902 Puentes Viejas;Total;2023;760
28902 Puentes Viejas;Total;2022;697
28902 Puentes Viejas;Total;2021;719
28902 Puentes Viejas;Total;2020;699
28902 Puentes Viejas;Total;2019;679
28902 Puentes Viejas;Total;2018;642
28902 Puentes Viejas;Total;2017;632
28902 Puentes Viejas;Total;2016;627
28902 Puentes Viejas;Total;2015;644
28119 Quijorna;Total;2024;4.001
28119 Quijorna;Total;2023;3.863
28119 Quijorna;Total;2022;3.683
28119 Quijorna;Total;2021;3.593
28119 Quijorna;Total;2020;3.541
28119 Quijorna;Total;2019;3.439
28119 Quijorna;Total;2018;3.357
28119 Quijorna;Total;2017;3.282
28119 Quijorna;Total;2016;3.239
28119 Quijorna;Total;2015;3.196
28120 RascafrÚa;Total;2024;1.707
28120 RascafrÚa;Total;2023;1.736
28120 RascafrÚa;Total;2022;1.736
28120 RascafrÚa;Total;2021;1.754
28120 RascafrÚa;Total;2020;1.725
28120 RascafrÚa;Total;2019;1.664
28120 RascafrÚa;Total;2018;1.663
28120 RascafrÚa;Total;2017;1.672
28120 RascafrÚa;Total;2016;1.692
28120 RascafrÚa;Total;2015;1.739
28121 Redueþa;Total;2024;288
28121 Redueþa;Total;2023;304
28121 Redueþa;Total;2022;298
28121 Redueþa;Total;2021;294
28121 Redueþa;Total;2020;270
28121 Redueþa;Total;2019;260
28121 Redueþa;Total;2018;247
28121 Redueþa;Total;2017;248
28121 Redueþa;Total;2016;261
28121 Redueþa;Total;2015;259
28122 Ribatejada;Total;2024;900
28122 Ribatejada;Total;2023;912
28122 Ribatejada;Total;2022;871
28122 Ribatejada;Total;2021;863
28122 Ribatejada;Total;2020;801
28122 Ribatejada;Total;2019;783
28122 Ribatejada;Total;2018;706
28122 Ribatejada;Total;2017;702
28122 Ribatejada;Total;2016;689
28122 Ribatejada;Total;2015;707
28123 Rivas-Vaciamadrid;Total;2024;101.949
28123 Rivas-Vaciamadrid;Total;2023;100.275
28123 Rivas-Vaciamadrid;Total;2022;96.690
28123 Rivas-Vaciamadrid;Total;2021;92.925
28123 Rivas-Vaciamadrid;Total;2020;90.973
28123 Rivas-Vaciamadrid;Total;2019;88.150
28123 Rivas-Vaciamadrid;Total;2018;85.893
28123 Rivas-Vaciamadrid;Total;2017;83.767
28123 Rivas-Vaciamadrid;Total;2016;82.715
28123 Rivas-Vaciamadrid;Total;2015;81.473
28124 Robledillo de la Jara;Total;2024;131
28124 Robledillo de la Jara;Total;2023;135
28124 Robledillo de la Jara;Total;2022;114
28124 Robledillo de la Jara;Total;2021;97
28124 Robledillo de la Jara;Total;2020;95
28124 Robledillo de la Jara;Total;2019;80
28124 Robledillo de la Jara;Total;2018;87
28124 Robledillo de la Jara;Total;2017;87
28124 Robledillo de la Jara;Total;2016;99
28124 Robledillo de la Jara;Total;2015;100
28125 Robledo de Chavela;Total;2024;4.725
28125 Robledo de Chavela;Total;2023;4.705
28125 Robledo de Chavela;Total;2022;4.587
28125 Robledo de Chavela;Total;2021;4.479
28125 Robledo de Chavela;Total;2020;4.364
28125 Robledo de Chavela;Total;2019;4.270
28125 Robledo de Chavela;Total;2018;4.159
28125 Robledo de Chavela;Total;2017;4.073
28125 Robledo de Chavela;Total;2016;4.001
