"municipio","codigo_ine","n_centros_infantil","n_centros_primaria","n_centros_sec","n_centros_salud","n_hospitales","n_farmacias","n_tren","n_autobus","n_lineas","n_interurbanas"
"Acebeda (La)",280014,0,0,0,0,0,0,0,3,2,2
"Ajalvir",280029,2,1,1,0,0,1,0,18,6,6
"Alameda del Valle",280035,0,0,0,0,0,1,0,3,2,2
"Alcalá de Henares",280053,69,39,30,10,3,69,3,333,34,20
"Alcobendas",280066,48,28,23,5,0,38,6,240,46,34
"Alcorcón",280072,65,36,29,8,2,68,11,226,35,27
"Aldea del Fresno",280088,2,1,0,0,0,1,0,13,4,4
"Algete",280091,12,7,3,1,0,7,0,41,13,12
"Alpedrete",280105,10,5,2,0,0,3,2,25,10,9
"Ambite",280112,1,0,0,0,0,1,0,8,3,3
"Anchuelo",280127,2,1,0,0,0,1,0,1,1,1
"Aranjuez",280133,19,12,9,2,1,17,1,148,12,5
"Arganda del Rey",280148,21,11,8,2,1,19,2,163,22,18
"Arroyomolinos",280151,17,7,5,0,0,11,0,105,9,7
"Atazar (El)",280164,0,0,0,0,0,0,0,1,1,1
"Batres",280170,1,1,0,0,0,1,0,12,3,3
"Becerril de la Sierra",280186,2,1,1,0,0,2,0,16,5,5
"Belmonte de Tajo",280199,2,1,0,0,0,1,0,4,3,3
"Berrueco (El)",280210,1,0,0,0,0,0,0,6,3,3
"Berzosa del Lozoya",280203,1,0,0,0,0,0,0,4,2,2
"Boadilla del Monte",280225,25,15,14,1,1,18,8,197,13,8
"Boalo (El)",280231,7,4,2,0,0,0,0,29,6,6
"Braojos",280246,0,0,0,0,0,1,0,1,3,3
"Brea de Tajo",280259,1,0,0,0,0,1,0,3,2,2
"Brunete",280262,5,2,1,0,0,3,0,31,7,7
"Buitrago del Lozoya",280278,2,2,2,1,0,1,0,9,13,13
"Bustarviejo",280284,2,1,0,0,0,1,0,18,1,1
"Cabanillas de la Sierra",280297,2,1,0,0,0,1,0,8,6,6
"Cabrera (La)",280301,2,1,1,1,0,0,0,11,8,8
"Cadalso de los Vidrios",280318,2,1,1,1,0,1,0,13,2,2
"Camarma de Esteruelas",280323,4,2,3,0,0,2,0,21,2,2
"Campo Real",280339,3,1,1,1,0,2,0,7,3,3
"Canencia",280344,0,0,0,0,0,1,0,1,5,5
"Carabaña",280357,2,1,0,0,0,1,0,18,2,2
"Casarrubuelos",280360,3,1,0,0,0,2,0,11,2,2
"Cenicientos",280376,2,1,1,0,0,1,0,12,2,2
"Cercedilla",280382,3,2,1,1,1,3,2,56,7,4
"Cervera de Buitrago",280395,1,0,0,0,0,0,0,5,2,2
"Chapinería",280513,2,2,1,0,0,1,0,1,1,1
"Chinchón",280528,3,1,1,0,0,2,0,31,4,4
"Ciempozuelos",280409,9,4,2,1,0,8,1,46,9,6
"Cobeña",280416,3,2,2,0,0,2,0,14,6,6
"Collado Mediano",280468,2,1,1,0,0,2,1,16,10,9
"Collado Villalba",280474,25,13,7,3,1,21,1,123,30,22
"Colmenar Viejo",280455,25,11,6,2,0,15,1,99,23,19
"Colmenar de Oreja",280437,2,1,1,1,0,3,0,17,4,4
"Colmenar del Arroyo",280421,2,1,0,0,0,1,0,13,2,2
"Colmenarejo",280442,4,2,1,0,0,2,0,22,5,5
"Corpa",280480,1,0,0,0,0,1,0,2,2,2
"Coslada",280493,30,17,9,5,1,30,6,145,20,14
"Cubas de la Sagra",280506,3,2,1,0,0,2,0,17,3,3
"Daganzo de Arriba",280534,5,2,3,0,0,3,0,17,6,6
"Escorial (El)",280549,3,2,2,0,0,0,2,41,15,10
"Estremera",280552,2,1,0,0,0,1,0,9,3,3
"Fresnedillas de la Oliva",280565,2,1,0,0,0,1,0,16,3,3
"Fresno de Torote",280571,2,1,0,0,0,1,0,18,2,2
"Fuenlabrada",280587,77,49,29,7,1,66,7,240,32,22
"Fuente el Saz de Jarama",280590,2,1,3,0,0,3,0,21,4,4
"Fuentidueña de Tajo",280604,2,1,0,0,0,1,0,7,4,4
"Galapagar",280611,12,8,5,1,0,10,2,90,15,11
"Garganta de los Montes",280626,0,0,0,0,0,1,0,13,5,5
"Gargantilla del Lozoya y Pinilla de Buitrago",280632,0,0,0,0,0,1,0,12,5,5
"Gascones",280647,0,0,0,0,0,0,0,2,2,2
"Getafe",280650,73,38,24,9,1,61,13,335,43,28
"Griñón",280663,6,3,3,1,0,2,0,27,4,4
"Guadalix de la Sierra",280679,3,1,1,0,0,2,0,13,2,2
"Guadarrama",280685,9,5,6,1,1,4,0,52,12,11
"Hiruela (La)",280698,0,0,0,0,0,0,0,1,1,1
"Horcajo de la Sierra-Aoslos",280702,0,0,0,0,0,0,0,6,2,2
"Horcajuelo de la Sierra",280719,0,0,0,0,0,0,0,1,2,2
"Hoyo de Manzanares",280724,2,1,2,0,0,3,0,33,4,4
"Humanes de Madrid",280730,10,5,3,1,0,7,1,44,8,7
"Leganés",280745,72,40,30,9,1,68,10,297,28,22
"Loeches",280758,5,4,2,0,0,2,0,32,5,5
"Lozoya",280761,2,1,0,0,0,1,0,2,2,2
"Lozoyuela-Navas-Sieteiglesias",289015,2,1,0,0,0,1,0,21,8,8
"Madarcos",280783,0,0,0,0,0,0,0,1,2,2
"Madrid",280796,1075,561,466,129,29,1814,292,5553,503,246
"Majadahonda",280800,25,14,12,2,1,25,1,179,35,30
"Manzanares el Real",280822,4,2,1,1,0,2,0,9,3,3
"Meco",280838,7,3,2,1,0,4,1,26,5,3
"Mejorada del Campo",280843,8,5,2,1,0,7,0,38,7,7
"Miraflores de la Sierra",280856,4,2,1,0,0,3,0,11,2,2
"Molar (El)",280869,5,2,1,1,0,0,0,11,8,8
"Molinos (Los)",280875,3,1,0,0,0,0,1,18,5,4
"Montejo de la Sierra",280881,1,0,0,0,0,1,0,3,4,4
"Moraleja de Enmedio",280894,1,1,1,0,0,1,0,33,6,6
"Moralzarzal",280908,7,4,3,0,0,3,0,21,8,8
"Morata de Tajuña",280915,3,1,1,0,0,2,0,19,4,3
"Móstoles",280920,70,41,24,9,3,73,7,272,41,32
"Navacerrada",280936,2,1,1,0,0,1,0,16,3,3
"Navalafuente",280941,2,1,0,0,0,1,0,9,2,2
"Navalagamella",280954,2,1,0,0,0,1,0,5,3,3
"Navalcarnero",280967,15,7,6,1,1,10,0,76,15,14
"Navarredonda y San Mamés",280973,0,0,0,0,0,0,0,5,4,4
"Navas del Rey",280992,2,1,1,1,0,2,0,6,1,1
"Nuevo Baztán",281006,4,2,2,0,0,2,0,32,3,3
"Olmeda de las Fuentes",281013,1,0,0,0,0,1,0,4,3,3
"Orusco de Tajuña",281028,2,1,0,0,0,1,0,4,3,3
"Paracuellos de Jarama",281049,11,5,5,1,0,6,0,102,11,8
"Parla",281065,42,25,13,4,1,28,20,140,16,9
"Patones",281071,2,1,0,0,0,1,0,10,3,3
"Pedrezuela",281087,6,2,0,0,0,1,0,21,9,8
"Pelayos de la Presa",281090,2,1,0,0,0,1,0,6,1,1
"Perales de Tajuña",281104,2,1,1,1,0,1,0,10,9,9
"Pezuela de las Torres",281111,1,0,0,0,0,1,0,4,2,2
"Pinilla del Valle",281126,0,0,0,0,0,0,0,3,2,2
"Pinto",281132,18,11,8,2,0,17,1,86,18,14
"Piñuécar-Gandullas",281147,0,0,0,0,0,0,0,6,7,7
"Pozuelo de Alarcón",281150,37,19,19,3,1,30,17,311,40,31
"Pozuelo del Rey",281163,1,0,0,0,0,1,0,5,2,2
"Prádena del Rincón",281179,0,0,0,0,0,0,0,2,4,4
"Puebla de la Sierra",281185,0,0,0,0,0,0,0,1,1,1
"Puentes Viejas",289020,0,0,0,0,0,1,0,13,4,4
"Quijorna",281198,3,1,0,0,0,1,0,8,1,1
"Rascafría",281202,2,1,0,1,0,1,0,12,4,4
"Redueña",281219,1,0,0,0,0,1,0,1,3,3
"Ribatejada",281224,2,1,0,0,0,1,0,17,3,3
"Rivas-Vaciamadrid",281230,43,19,10,3,0,28,3,209,25,23
"Robledillo de la Jara",281245,0,0,0,0,0,0,0,7,3,3
"Robledo de Chavela",281258,2,1,1,1,0,2,1,33,6,5
"Robregordo",281261,0,0,0,0,0,0,0,4,2,2
"Rozas de Madrid (Las)",281277,36,22,24,2,0,0,3,250,45,39
"Rozas de Puerto Real",281283,2,2,1,0,0,1,0,8,1,1
"San Agustín del Guadalix",281296,6,2,1,0,0,3,0,14,8,8
"San Fernando de Henares",281300,14,7,3,2,0,11,3,94,22,20
"San Lorenzo de El Escorial",281317,9,6,5,1,1,6,0,57,14,10
"San Martín de Valdeiglesias",281338,4,2,1,1,0,3,0,10,1,1
"San Martín de la Vega",281322,11,6,2,1,0,6,0,47,9,7
"San Sebastián de los Reyes",281343,41,17,9,3,1,28,3,167,34,27
"Santa María de la Alameda",281356,1,0,0,0,0,1,1,21,3,2
"Santorcaz",281369,1,1,0,0,0,1,0,3,1,1
"Santos de la Humosa (Los)",281375,3,1,0,0,0,0,0,3,1,1
"Serna del Monte (La)",281381,0,0,0,0,0,0,0,4,3,3
"Serranillos del Valle",281408,2,1,0,0,0,2,0,19,2,2
"Sevilla la Nueva",281415,5,3,3,0,0,4,0,18,5,5
"Somosierra",281436,0,0,0,0,0,0,0,2,2,2
"Soto del Real",281441,6,3,3,1,0,3,0,23,6,6
"Talamanca de Jarama",281454,4,1,1,0,0,2,0,8,3,3
"Tielmes",281467,2,1,0,0,0,1,0,8,2,2
"Titulcia",281473,2,1,0,0,0,1,0,2,2,2
"Torrejón de Ardoz",281489,50,25,14,6,1,35,2,159,23,12
"Torrejón de Velasco",281505,3,2,1,0,0,2,0,10,2,2
"Torrejón de la Calzada",281492,4,3,2,0,0,4,0,15,4,4
"Torrelaguna",281512,2,1,2,1,0,1,0,7,8,8
"Torrelodones",281527,11,6,5,1,1,8,1,124,23,16
"Torremocha de Jarama",281533,1,0,0,0,0,1,0,8,3,3
"Torres de la Alameda",281548,3,1,1,1,0,2,0,22,5,5
"Tres Cantos",289036,32,11,9,2,0,16,1,150,20,14
"Valdaracete",281551,2,1,0,0,0,0,0,8,2,2
"Valdeavero",281564,1,1,0,0,0,1,0,2,3,3
"Valdelaguna",281570,1,0,0,0,0,1,0,6,2,2
"Valdemanco",281586,1,0,0,0,0,1,0,6,3,3
"Valdemaqueda",281599,1,0,0,0,0,1,0,10,3,3
"Valdemorillo",281603,4,2,2,0,0,3,0,56,8,8
"Valdemoro",281610,32,18,13,2,1,20,1,160,21,11
"Valdeolmos-Alalpardo",281625,5,2,1,0,0,1,0,15,2,2
"Valdepiélagos",281631,1,0,0,0,0,1,0,1,2,2
"Valdetorres de Jarama",281646,2,1,1,0,0,2,0,18,3,3
"Valdilecha",281659,2,1,1,0,0,1,0,4,1,1
"Valverde de Alcalá",281662,0,0,0,0,0,1,0,2,2,2
"Velilla de San Antonio",281678,5,2,1,0,0,5,0,20,6,6
"Vellón (El)",281684,2,1,0,0,0,0,0,14,5,5
"Venturada",281697,2,1,1,0,0,1,0,8,8,8
"Villa del Prado",281718,2,1,1,1,1,2,0,21,3,3
"Villaconejos",281701,2,1,0,0,0,1,0,7,3,3
"Villalbilla",281723,10,5,3,0,0,3,0,81,8,8
"Villamanrique de Tajo",281739,1,0,0,0,0,1,0,4,2,2
"Villamanta",281744,2,1,1,0,0,1,0,11,4,4
"Villamantilla",281757,2,1,1,0,0,1,0,5,1,1
"Villanueva de Perales",281782,2,1,0,0,0,1,0,8,2,2
"Villanueva de la Cañada",281760,11,7,8,1,0,7,0,94,13,13
"Villanueva del Pardillo",281776,8,5,4,0,0,5,0,29,11,11
"Villar del Olmo",281795,1,0,0,0,0,1,0,1,3,3
"Villarejo de Salvanés",281809,5,2,3,1,0,2,0,19,7,7
"Villaviciosa de Odón",281816,9,6,11,1,0,9,0,94,10,10
"Villavieja del Lozoya",281821,1,0,0,0,0,1,0,4,5,5
"Zarzalejo",281837,2,1,0,0,0,1,1,14,5,4
"Álamo (El)",280040,4,2,2,0,0,0,0,25,4,4
